prices,giá,697
prices,cả,451
prices,vụ,338
prices,hợp,334
prices,phòng,320
comfort,phòng,657
comfort,lòng,624
comfort,hài,612
comfort,khách,552
comfort,không,504
general,khách,2882
general,phòng,2750
general,vụ,2296
general,sạn,2185
general,nhân,2101
quality,phòng,608
quality,khách,454
quality,chất,452
quality,lượng,417
quality,không,406
cleanliness,phòng,1402
cleanliness,sạch,1097
cleanliness,tiện,580
cleanliness,ốc,557
cleanliness,sinh,529
miscellaneous,không,207
miscellaneous,phòng,170
miscellaneous,khách,145
miscellaneous,sạn,90
miscellaneous,nước,84
style&options,sáng,225
style&options,ăn,188
style&options,món,150
style&options,bữa,115
style&options,không,101
design&features,phòng,786
design&features,không,400
design&features,khách,303
design&features,đẹp,302
design&features,sạch,264
